id,X,Y,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
132,-73.969416811864306,40.772887737797703,11G-PM-1013-01,PM,2018-10-13,Adult,Gray,Above Ground,In the Woods/Brush,False,False,False,False,False,,False,False,False,False,False,False,False,False
133,-73.952868250779403,40.792580780830697,36I-PM-1007-13,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
134,-73.978241711513903,40.772466503644701,7A-AM-1006-01,AM,2018-10-06,Adult,Gray,Above Ground,in tree,False,False,False,False,False,,False,False,False,False,False,False,False,False
135,-73.972144293979696,40.770075080231699,7G-PM-1018-03,PM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
136,-73.969847380865005,40.776988461230502,14E-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,,False,False,False,False,False,nest building,False,False,False,False,False,False,False,False
137,-73.976865278566393,40.768483816820698,3D-PM-1010-03,PM,2018-10-10,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
138,-73.959099284142297,40.793758098573001,35D-PM-1013-09,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
139,-73.972406398677094,40.770571189797700,7F-PM-1012-01,PM,2018-10-12,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
140,-73.966136131067699,40.778787256117702,18G-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,burying,False,False,False,False,False,False,False,False
141,-73.973075060121204,40.770130421194402,6F-PM-1008-01,PM,2018-10-08,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
142,-73.971970670613999,40.772086812454397,9F-AM-1013-04,AM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
143,-73.956211745510004,40.795104437820697,38E-AM-1010-09,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
144,-73.956402362661905,40.790542354615503,33G-AM-1013-02,AM,2018-10-13,Adult,Gray,Above Ground,shelter in hole in tree,False,False,False,False,False,,False,False,False,False,False,False,False,False
145,-73.953262012830706,40.795247554804803,39G-AM-1018-01,AM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False
146,-73.957634932135704,40.790440991243699,32G-PM-1013-03,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
147,-73.976343082934207,40.768635109715902,4D-PM-1008-11,PM,2018-10-08,Adult,Cinnamon,Above Ground,on tree facing downward,False,False,False,False,False,chased #12,False,False,False,False,False,False,False,False
148,-73.971478913675696,40.769488664519400,6H-AM-1008-01,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
149,-73.975513371066498,40.769788343598101,5E-AM-1008-08,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
150,-73.970234898280296,40.777329541910397,15D-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
151,-73.968605608529700,40.778165842486601,16E-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
152,-73.952214236038799,40.794959848668299,39H-PM-1013-02,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
153,-73.957658999749299,40.797275187744702,39C-PM-1006-02,PM,2018-10-06,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
154,-73.963794687873502,40.791570044687802,31A-AM-1010-04,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
155,-73.971099112399202,40.772388972664700,9F-PM-1014-02,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
156,-73.963827033133597,40.781045006523499,21G-PM-1007-02,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
157,-73.975601500582101,40.767009032773601,2F-AM-1006-01,AM,2018-10-06,Adult,Gray,Ground Plane,walking along path,False,False,False,False,False,,False,False,False,False,False,False,False,False
158,-73.964963255082793,40.780918776199499,20F-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
